מאוד,VERY
עוד,MORE
כמו כ,AS
שם,THERE
די,QUITE
לעתים קרוב,OFTEN
פעם,ONCE
אך ורק,EXCLUSIVELY
בכל זאת,ANYWAY STILL
פעם בכמה זמן,ONCE IN A WHILE
כאן,HERE
באמת,GENUINELY
לפעמים,SOMETIMES
ממש,TRULY
לעתים רחוקות,RARELY
שוב,AGAIN
רעיקר,MAINLY
לפחות,AT LEAST
לבד,ALONE
בכל אופן,ANYWAY
אחרת,OTHERWISE
ואחר כך,AND THEN LATER
מספיק,ENOUGH
בינתיים,MEANWHILE
בקרוב,SOON
במשך,DURING
כרגע,AT THE MOMENT
במיוחד,ESPECIALLY
סוף סוף,FINALLY
לאו דווקא,NOT NECESSARILY
מאוחר,LATE
כמעט ולא,BARELY
לגמרי,TOTALLY
בערר,APPROXIMATELY
בקושי,HARDLY
בקלות,EASILY
ברור,CLEARLY
בדיוק,EXACTLY
מקום,PLACE
באיפן כללי,IN GENERAL
סביר להניח,PROBABLY
מיד,IMMEDIATELY
בהחלט,DEFINITELY
לאחרונה,RECENTLY
ביחד,TOGETHER
